,K0,K1,K2,K3,K4,K5,K6,K7,K8,K9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80,U81,U82,U83,U84,U85,U86,U87,U88,U89,U90,U91,U92,U93,U94,U95,U96,U97,U98,U99
Sample61,359.591,30.536,6.444,5.496,1122.156,2181.533,291.938,946.41,142.41,3136.807,1076.147,3.153,1873.515,5.044,864.98,13.244,1942.052,148.729,43.355,70.313,5.269,10.534,619.011,528.241,272.461,50.567,5471.915,2560.822,317.454,328.476,616.069,67.966,14.159,760.278,160.262,33.37,150.156,2049.304,3721.106,46.735,267.35,44.072,344.259,29.906,59.595,2376.956,20.193,383.595,6.976,1770.363,625.518,22.808,1372.928,6.973,30.079,14.232,120.974,804.155,28.963,3.27,61.986,17.805,7.682,319.85,39.415,485.736,14.048,3748.159,70.299,8.031,317.043,3793.04,80.68,3039.001,189.42,97.683,346.091,5414.613,3858.851,128.432,943.908,107.618,142.551,1197.205,87.395,527.329,515.912,3311.669,10.049,791.151,2059.331,3328.774,4.695,1661.368,5373.962,3885.864,7.757,4232.547,2801.961,1190.145
Sample62,450.524,34.544,7.937,6.197,1057.39,1925.235,274.71,828.591,130.523,2941.503,1152.842,3.614,2067.888,5.242,775.251,14.635,2072.33,167.799,44.022,61.762,4.94,11.06,634.954,457.817,251.009,54.999,5644.13,4067.974,432.509,319.023,543.651,69.958,13.873,606.96,138.937,37.918,142.539,2425.115,3574.289,34.855,236.812,48.066,352.017,36.007,53.328,2914.019,14.651,412.304,7.099,1882.133,740.736,22.958,1605.653,7.981,33.687,12.199,133.331,875.946,24.981,3.839,56.849,16.882,8.027,302.628,45.873,411.849,15.199,3595.686,69.049,10.116,306.976,3273.009,95.238,2964.641,188.71,105.979,378.579,4962.76,3910.406,119.739,945.71,141.198,145.146,1061.884,92.053,509.971,628.925,3923.415,10.114,718.558,2208.098,3636.061,5.225,1192.456,5211.633,3467.33,6.884,4268.482,2702.058,1542.421
Sample63,406.153,28.215,6.495,6.616,1077.835,2400.871,307.748,991.217,147.709,3613.576,1575.268,3.102,1787.184,3.192,863.673,15.294,2004.404,128.489,46.764,67.671,5.066,11.615,717.592,431.569,244.636,51.016,6198.108,3532.908,464.476,314.555,642.495,59.798,13.558,733.92,148.38,42.792,174.689,2376.81,3039.852,51.126,232.933,49.427,355.782,35.201,59.437,2856.167,15.902,353.066,8.257,1706.202,752.476,23.18,1415.301,6.294,36.962,12.862,127.37,727.519,26.02,5.338,63.381,19.144,8.375,327.019,45.961,355.74,14.394,4047.408,70.421,9.412,317.096,4132.013,100.903,2330.964,159.849,93.348,376.605,5779.926,4335.13,126.275,948.519,131.296,124.503,974.776,90.171,670.038,602.004,3682.443,11.317,748.518,2115.869,3618.739,4.725,1166.396,5273.038,3566.021,6.47,4977.271,2692.16,1340.098
Sample64,393.2,31.874,6.532,5.479,915.777,3008.29,316.837,820.125,152.423,3335.321,1121.741,2.726,1802.711,3.87,794.283,13.804,1908.545,152.988,45.05,48.778,5.19,10.112,615.03,466.551,281.526,52.18,5654.925,3418.158,485.05,402.393,593.164,55.039,12.547,666.337,155.093,38.443,172.862,2378.991,3272.858,46.176,224.829,46.312,364.918,38.478,53.605,2786.368,16.813,447.328,8.016,1801.946,501.143,23.751,1734.426,7.84,39.634,13.177,127.456,836.559,25.733,5.057,69.982,17.218,8.257,348.258,45.73,422.567,14.992,3497.258,73.716,8.446,313.829,3839.815,97.056,2831.871,179.469,97.074,393.924,5580.51,4039.165,126.574,1055.437,126.97,142.907,1276.112,89.513,495.877,655.221,3280.639,9.492,638.736,1771.965,3628.713,5.608,1195.493,5353.999,3682.192,10.696,4389.784,2490.217,1286.282
Sample65,420.134,26.759,7.997,6.809,1026.11,2739.834,289.922,831.55,124.36,3541.993,1415.717,2.123,2111.463,4.047,824.35,15.457,2080.055,170.479,42.804,53.212,3.862,13.285,615.086,450.323,288.34,56.388,5471.616,3093.029,350.331,408.053,546.202,67.152,14.195,627.185,154.949,39.886,167.407,2291.668,3910.052,45.927,250.555,48.33,380.166,35.016,53.815,2711.604,17.276,397.616,6.757,1608.81,630.733,23.879,1716.498,7.242,35.672,14.054,149.421,735.602,29.005,4.863,64.95,17.774,7.99,328.375,40.221,406.513,15.157,3437.068,76.84,10.179,301.265,3813.363,68.945,2498.943,169.981,98.984,379.736,5890.812,3745.715,138.16,1114.238,83.901,122.306,1262.898,89.984,644.887,585.457,3451.518,10.698,805.099,2037.225,3554.322,4.347,993.648,5574.262,3508.078,7.216,4000.271,2802.522,1448.478
Sample66,359.929,25.554,7.79,5.552,1085.518,2461.281,295.234,898.314,153.299,3318.249,1258.972,3.064,1875.419,4.715,727.466,14.515,2465.172,132.097,42.423,54.423,5.378,11.466,628.995,441.134,239.295,47.509,5813.383,2875.764,390.737,371.612,554.239,67.31,13.699,698.911,163.538,37.675,137.449,2231.941,3696.067,48.898,223.133,53.119,342.327,41.104,66.356,2694.9,10.808,392.543,7.368,1651.482,824.232,22.416,1084.691,6.746,46.798,14.281,139.392,919.224,31.33,4.472,64.221,16.363,8.201,323.783,44.696,415.721,15.364,3702.978,61.557,7.938,312.442,3012.954,74.834,2418.556,195.104,103.434,399.794,6080.708,3839.226,121.046,1102.3,107.371,116.336,1106.207,99.735,455.92,520.459,3807.13,12.068,834.771,1883.268,3845.726,5.787,1232.83,5486.295,4036.732,6.858,4329.347,2713.622,1301.698
Sample67,360.203,26.799,7.497,5.833,1064.466,2346.749,305.204,828.343,119.698,3091.454,1213.292,3.731,1991.415,3.8,829.065,12.24,2019.594,153.548,42.68,59.878,4.103,8.202,644.719,380.27,252.011,46.134,5503.5,3535.753,434.653,292.754,553.297,65.412,13.323,646.869,145.435,36.483,140.981,2242.633,3701.262,45.848,231.535,41.609,354.383,36.818,63.224,2361.286,16.456,406.57,7.489,1789.175,757.4,18.929,1419.564,8.805,37.715,16.239,131.595,956.095,28.831,4.484,77.641,17.442,7.756,332.491,42.091,432.091,17.42,4020.774,71.949,10.143,292.014,3193.542,101.726,1834.432,185.878,100.986,312.746,5521.658,3532.281,123.001,1129.649,99.834,106.759,1099.751,82.104,595.248,590.14,3846.747,9.502,675.87,1798.248,3519.144,5.66,1289.98,5533.391,3355.751,9.197,4137.423,2587.907,1458.22
Sample68,306.844,20.399,7.195,6.774,1202.776,2215.331,260.867,903.866,129.101,3202.691,1360.462,3.604,1952.262,3.479,896.059,17.22,2158.157,138.057,39.539,71.196,5.263,10.305,586.784,407.246,281.308,48.911,5847.54,2910.154,374.592,379.881,520.247,58.637,14.478,761.604,125.088,41.277,153.431,2369.547,3834.652,57.372,225.879,40.301,352.162,33.907,73.787,2472.828,14.0,415.197,7.68,1735.558,798.251,17.16,1220.427,7.118,39.353,11.7,129.113,795.069,25.722,4.639,63.699,17.626,7.992,338.342,40.924,373.75,13.456,3729.292,70.178,9.453,286.394,3677.543,86.609,2763.862,165.827,95.84,319.523,5139.778,3576.309,137.217,933.775,113.222,110.184,1266.174,106.998,557.982,640.282,3680.314,10.321,656.235,2186.53,4065.619,5.297,1228.83,5035.821,3596.901,9.209,4184.045,2984.608,1489.705
Sample69,405.565,22.501,7.126,6.595,880.492,2431.983,239.973,944.411,147.014,3278.85,1437.068,2.503,1805.451,4.214,1018.679,15.613,2091.229,169.161,45.916,51.202,5.123,11.65,574.221,328.69,301.106,52.032,5887.413,3404.99,445.654,321.708,492.065,69.494,14.328,642.074,137.251,41.148,166.546,2081.718,3765.74,53.231,239.543,48.834,342.594,34.134,63.894,2718.337,11.826,356.413,7.143,1667.384,859.809,25.692,1176.613,7.664,35.79,14.96,138.263,813.78,28.018,4.886,60.029,18.946,9.003,265.923,36.821,406.391,12.065,3872.067,78.36,9.493,276.07,3536.898,78.379,3265.813,184.659,100.622,356.02,5641.065,3865.937,149.726,1189.444,120.008,155.62,1096.7,93.64,550.425,614.38,3454.109,10.171,654.207,2095.995,4170.9,5.407,1402.655,4331.969,3558.127,6.686,4817.963,2656.143,1443.414
Sample70,342.866,20.937,7.585,5.797,1239.475,2076.765,294.745,797.396,124.998,3485.618,1431.223,3.866,1956.458,3.276,828.821,13.052,2106.28,131.011,45.29,52.985,4.575,11.727,614.78,370.744,189.812,49.977,5977.993,3817.75,428.162,345.981,543.776,58.281,13.831,668.87,148.489,34.36,164.895,2417.16,4013.71,49.672,232.544,44.567,332.003,37.414,59.843,2601.706,15.789,356.319,8.708,1583.569,738.163,24.806,1622.73,7.979,32.763,14.334,128.674,754.599,26.833,5.308,59.535,13.896,7.603,364.123,41.489,383.8,14.105,3415.973,70.696,8.715,278.046,3519.241,88.755,3169.979,193.671,100.368,354.274,5597.951,3668.628,109.994,1004.769,106.148,127.63,1149.556,92.561,514.001,567.191,3460.03,11.338,806.382,1916.385,3728.67,4.723,1497.406,5390.796,3549.297,9.652,3924.275,2847.106,1532.749
Sample71,371.736,18.211,8.212,6.663,918.474,2521.244,290.215,919.053,105.366,3222.609,1529.936,2.346,1804.571,4.352,839.885,15.499,2602.007,102.773,45.618,54.742,5.134,10.771,527.069,465.48,317.683,61.948,6012.311,3605.997,391.316,363.073,526.941,68.991,14.324,666.62,135.9,31.264,154.899,2004.561,3113.115,58.047,219.163,43.281,331.09,41.746,59.958,2896.792,15.718,366.467,7.578,1735.97,754.878,18.6,1345.159,6.477,39.778,13.725,120.934,803.486,28.868,3.801,67.399,15.017,8.163,323.177,41.635,397.429,17.798,3802.432,73.065,9.189,258.194,3382.762,82.345,2709.8,192.262,107.476,371.725,5618.993,4008.68,115.809,1127.584,102.563,115.839,1087.797,88.044,550.54,457.891,3818.745,10.848,663.725,2809.421,3007.396,5.3,1121.463,5433.127,2962.431,10.165,3948.772,2645.185,1421.853
Sample72,275.891,18.243,6.949,6.564,1021.391,2426.207,321.692,897.323,132.939,3855.633,1444.308,3.306,1752.505,3.831,829.49,17.285,2369.474,119.165,40.606,40.074,4.328,8.6,619.333,341.304,262.679,51.213,5533.971,3373.151,381.589,348.271,604.305,57.565,14.603,573.698,127.409,35.973,146.423,2271.357,3636.248,50.736,230.897,41.264,339.622,32.227,73.558,2596.455,14.206,422.369,8.945,1865.775,645.174,21.365,1381.872,7.073,27.999,14.913,132.735,711.679,26.298,4.037,79.793,14.865,8.195,321.185,40.936,319.961,11.137,3932.477,74.305,9.706,296.523,3565.054,87.949,2701.056,175.091,102.425,362.1,5647.769,4229.342,136.502,970.862,118.533,126.392,1217.343,78.901,493.134,586.853,3437.514,9.489,693.491,2235.941,3496.792,4.626,1265.606,4961.635,3668.351,8.686,4448.438,2959.037,1456.749
Sample73,385.544,19.625,6.565,6.236,934.252,2734.102,319.551,905.301,118.042,3513.196,1539.577,3.386,1840.73,3.179,854.702,17.79,2392.507,108.033,42.875,77.109,4.08,10.366,554.128,504.181,358.056,53.454,5278.212,3473.617,358.616,330.769,511.623,65.866,14.967,767.943,131.567,36.554,163.923,2268.895,3602.195,54.85,222.497,37.465,287.804,32.304,58.508,3015.046,11.129,367.35,7.263,1808.025,569.209,22.045,1193.479,7.129,37.827,12.884,136.832,862.834,26.882,4.437,63.184,19.17,6.953,337.981,44.789,419.521,14.778,3565.078,76.074,9.174,308.127,3683.987,71.953,2219.51,165.722,116.423,381.604,5660.259,3805.024,127.822,943.52,135.992,136.488,1060.075,88.147,584.809,528.584,3298.985,9.851,636.857,2368.835,3245.187,5.13,991.958,5969.28,3339.262,9.395,4566.524,2835.209,1351.183
Sample74,365.141,21.471,7.333,6.342,1140.72,2881.84,299.379,1004.377,122.501,3337.386,1508.306,3.874,1796.198,3.646,735.676,14.319,2310.324,123.865,44.355,51.718,4.356,11.224,592.993,414.873,282.923,57.986,5264.811,2894.409,422.459,368.055,526.588,56.105,13.196,674.653,128.409,39.546,139.698,2120.786,3856.051,53.922,198.193,36.988,337.79,29.644,64.542,2815.461,15.249,388.964,7.655,1715.396,513.197,20.514,1392.536,7.056,41.699,16.024,135.958,774.496,31.42,5.907,72.811,15.203,8.872,372.728,44.621,386.981,17.659,3613.065,72.193,9.95,343.518,3426.009,77.345,2857.631,179.163,102.238,379.693,5666.926,4696.562,131.197,965.211,128.718,130.994,1133.992,80.152,616.441,439.652,3651.964,11.307,772.215,2652.328,4121.633,4.913,1109.847,5489.989,3049.09,8.47,4941.056,2969.535,1371.507
Sample75,349.056,21.97,7.595,7.151,1020.358,2403.613,263.685,850.531,103.995,3217.446,1578.791,2.599,1663.398,2.217,846.66,16.458,2422.148,117.229,43.245,67.72,5.144,9.839,506.192,341.804,279.813,50.394,5493.975,2873.347,291.404,338.308,564.366,65.894,13.877,771.079,135.703,37.982,170.285,2458.695,3439.158,52.093,202.222,35.993,318.18,41.004,69.505,2796.999,16.565,461.644,6.754,1738.357,578.007,22.335,1428.712,8.015,41.239,14.286,127.553,1047.948,27.751,5.256,75.025,14.784,7.316,331.123,39.713,414.811,14.698,3342.801,68.919,8.2,301.352,3742.626,87.171,2742.42,171.495,103.882,373.554,6243.997,4419.581,135.329,1021.557,117.184,143.067,1053.885,84.889,590.365,452.876,3384.146,11.169,602.411,1804.971,4234.429,5.36,1113.166,5074.36,3536.05,7.88,4102.117,2641.509,1408.77
Sample76,366.236,17.659,7.704,6.602,1069.75,2718.065,257.692,887.836,143.533,3375.847,1417.897,3.295,1975.279,2.896,781.229,14.715,2513.319,148.762,48.462,40.968,4.623,10.444,573.448,407.932,252.613,44.069,5518.459,3149.152,323.491,421.643,589.295,64.344,14.284,656.977,151.174,36.093,161.703,2180.574,3821.528,48.005,235.341,42.377,296.725,33.492,75.281,2749.325,18.302,405.441,6.927,1703.325,730.273,21.714,1099.318,7.818,37.942,15.419,125.249,929.664,27.788,4.41,68.519,17.228,8.346,374.38,41.651,355.148,16.711,3750.848,68.248,10.297,316.454,3336.376,81.55,2605.959,166.475,107.412,384.168,5798.057,4244.395,141.139,1173.929,85.355,115.71,1069.227,87.945,550.242,588.258,3946.879,11.654,625.927,2022.91,3783.226,6.04,1184.892,4915.923,3432.104,8.585,4478.168,3041.195,1358.699
Sample77,380.727,22.232,7.047,6.996,882.977,2365.766,277.209,773.384,166.993,2874.757,1320.402,2.76,1845.177,3.741,668.857,14.46,2386.445,136.856,40.862,54.605,4.969,9.5,604.947,447.465,233.621,51.594,5716.66,3346.845,394.99,390.201,507.747,71.343,13.793,704.374,160.696,33.85,169.86,2476.084,3890.559,52.277,266.324,44.707,328.636,37.441,65.654,2857.546,17.975,394.025,8.217,1900.124,719.717,19.243,1135.195,7.394,39.843,15.2,124.044,710.257,24.281,5.389,64.601,15.081,8.468,294.936,42.381,379.155,14.355,3673.015,72.361,9.749,336.852,3448.859,74.387,2747.04,181.038,101.724,362.993,5482.574,3927.427,149.991,1231.514,130.196,136.095,1199.438,89.665,561.796,533.287,3646.426,10.003,731.702,2096.103,4134.29,5.667,1379.717,5556.032,3825.193,8.174,4791.074,3061.738,1414.41
Sample78,336.903,22.83,7.267,5.676,1193.567,2497.75,285.977,954.591,100.03,3242.854,1372.181,2.589,1800.147,4.063,719.38,15.46,2220.974,119.116,38.629,61.143,5.138,10.576,587.976,399.615,254.274,49.706,5371.796,3030.359,367.992,291.707,639.216,70.164,11.698,593.77,165.762,34.573,167.348,2064.642,3406.754,53.721,265.303,39.335,326.829,38.068,57.798,2605.277,13.302,449.578,7.458,1582.084,604.266,21.329,1438.835,7.257,42.276,15.186,142.206,948.214,25.126,4.896,76.572,14.734,8.431,302.316,43.564,359.832,17.018,3805.737,65.916,9.49,330.438,3819.083,88.859,2095.346,177.881,104.35,395.602,5737.229,3831.875,118.797,1091.557,114.575,111.093,1169.608,88.494,548.784,583.569,3204.076,10.034,764.673,2011.267,4053.567,4.362,1260.267,5728.226,3591.661,8.337,3319.935,2637.657,1220.753
Sample79,366.155,24.891,7.305,6.777,1131.973,2198.801,311.89,688.589,149.56,3183.804,1708.157,2.968,1814.948,3.664,952.019,14.633,1966.584,147.922,44.364,76.914,5.101,9.184,647.313,423.069,257.697,50.139,5156.307,3142.861,289.727,339.51,519.143,68.185,14.626,796.566,136.845,39.716,169.805,2255.821,3774.561,43.699,243.917,38.48,342.388,32.244,64.248,2398.677,11.986,433.456,7.902,1957.825,798.886,19.973,1523.708,7.292,40.308,15.306,123.111,592.023,27.602,5.558,63.577,14.237,7.639,308.658,40.379,418.755,15.189,4009.271,73.48,7.776,301.574,3661.272,97.464,2790.739,183.587,101.211,357.899,5881.408,4581.179,114.712,1109.947,118.268,150.197,1275.954,72.15,449.352,556.243,3351.257,9.495,785.087,1939.936,3337.465,4.624,1216.177,5138.989,3632.456,7.464,4489.398,2564.212,1431.009
Sample80,371.4,27.119,7.468,7.091,1263.083,2554.438,253.788,781.864,110.609,3092.967,1401.07,2.715,2066.122,3.996,987.96,13.686,2150.609,117.33,40.96,49.445,4.136,9.342,628.053,396.006,265.52,54.158,5005.13,3964.755,349.501,348.769,560.03,66.658,14.105,698.67,124.63,34.853,160.311,2409.433,3638.542,48.742,215.242,40.397,355.15,36.274,64.704,2573.705,19.695,379.282,7.023,1668.776,748.193,24.769,1355.66,7.863,41.043,14.287,130.633,857.933,26.712,4.755,83.694,14.471,8.514,330.159,36.146,357.129,13.435,3904.39,64.632,8.198,294.382,3137.156,77.535,2730.683,169.108,91.913,354.238,6350.889,4028.713,115.357,1007.433,117.625,137.106,1275.626,89.996,598.08,548.343,3612.47,9.826,744.656,2089.591,3685.053,5.176,990.03,5479.75,3803.635,8.443,4728.0,2779.645,1455.611
Sample81,367.465,23.957,7.75,5.473,918.283,2670.2,330.544,909.388,129.494,2934.481,1473.331,1.843,2002.416,3.772,659.611,14.275,2535.71,161.318,45.525,51.239,4.961,9.379,580.695,413.176,247.328,56.556,5882.107,2559.377,372.75,412.83,550.214,72.939,14.516,718.567,147.855,34.846,156.1,2201.921,4147.82,48.722,223.25,45.924,311.488,43.363,70.129,2564.32,13.333,425.314,6.615,1757.904,784.956,19.501,1170.213,8.043,36.236,13.313,143.705,984.763,23.951,4.915,73.1,18.296,8.276,329.733,39.203,494.955,16.6,3732.486,75.332,8.214,310.559,3744.119,78.319,2522.609,197.925,106.101,371.189,5731.368,3558.61,133.365,1143.484,121.148,172.757,1155.919,92.076,579.392,537.442,3591.231,10.166,693.758,2165.793,3884.414,5.096,1311.918,4840.007,4317.617,8.73,3939.824,3133.459,1447.993
Sample82,302.82,30.137,7.903,5.197,1058.952,2348.623,340.383,961.399,160.999,3426.066,1403.804,3.432,1802.025,3.423,750.492,14.144,2319.487,123.761,44.038,50.943,4.097,9.853,651.634,379.034,263.499,49.843,4935.312,3105.677,438.836,341.303,566.674,67.108,13.576,605.594,146.146,38.024,173.012,2067.725,3797.599,49.099,219.368,46.525,366.57,39.656,57.626,2793.737,17.034,435.049,8.581,1775.802,882.132,22.801,1415.779,7.262,39.604,13.431,111.955,977.539,26.924,3.951,60.989,18.508,7.09,380.623,39.213,522.352,16.286,3296.938,68.962,10.213,347.107,3314.107,87.17,2847.244,160.197,99.038,401.555,5386.886,4144.574,119.612,1028.484,120.159,134.652,1036.813,90.996,443.069,503.478,3461.046,10.485,748.529,1672.505,3625.295,4.977,1294.763,4951.801,3510.99,6.928,4167.695,2374.765,1404.059
Sample83,360.378,23.182,6.266,6.128,1030.925,2596.299,307.055,863.156,137.06,3255.16,1529.164,3.262,1701.268,3.622,849.603,14.604,2146.624,132.623,44.305,63.299,5.108,11.443,544.666,433.725,317.819,52.608,5228.169,3265.018,387.036,406.169,599.527,75.271,14.106,729.963,138.816,34.928,157.483,2348.409,3452.589,55.523,242.049,36.639,290.982,38.769,68.587,2626.881,15.9,394.995,7.536,1748.277,698.933,15.85,1345.513,7.271,35.504,12.624,134.002,770.883,27.331,4.94,54.573,16.144,7.623,308.07,53.135,403.477,12.071,3512.637,67.718,9.001,306.899,3463.966,89.328,2609.623,185.394,102.7,341.823,6483.031,4428.312,117.259,1041.377,133.436,134.425,1125.688,87.418,581.453,606.735,3954.6,8.288,770.466,2097.284,3259.383,5.162,1307.401,4941.466,3612.436,10.054,4718.758,2784.512,1543.471
Sample84,423.971,25.981,6.941,6.855,957.293,2445.065,279.492,878.071,143.284,3324.424,1032.824,2.96,1871.494,4.348,944.616,14.517,1947.407,122.334,38.067,54.631,5.301,9.515,621.062,361.151,287.194,54.18,5603.858,3511.261,348.822,375.874,593.483,61.891,13.726,760.179,144.525,35.193,142.877,2592.685,4156.454,40.086,216.922,40.771,367.366,33.14,66.304,2882.667,17.711,368.039,6.222,1696.837,679.975,19.869,1312.748,6.743,44.915,14.215,137.979,822.236,25.726,3.568,54.729,16.432,7.992,322.424,44.81,453.14,17.88,4030.497,71.679,8.558,347.433,3745.704,72.858,2300.134,186.751,114.969,327.084,5587.07,4240.921,122.848,1131.226,95.551,133.958,1040.811,102.926,492.216,638.408,3987.929,10.703,722.477,2058.983,4134.482,4.435,1019.702,4877.171,3646.131,9.615,4285.657,3039.312,1264.775
Sample85,379.218,21.649,7.323,6.346,1063.24,3066.386,307.828,1044.134,135.411,3153.848,1655.215,4.199,1584.722,3.91,944.771,14.605,2185.78,129.904,43.955,59.925,5.548,9.297,594.918,405.297,293.121,48.407,5467.433,3537.465,382.803,359.607,587.978,75.141,13.304,724.88,117.513,34.802,162.89,2289.925,3473.469,50.168,224.883,42.892,345.819,36.421,63.463,2743.961,11.027,427.795,8.535,1891.575,635.11,25.021,1849.479,8.29,44.148,14.241,127.714,721.135,27.173,4.915,71.063,16.982,9.169,309.848,51.192,404.121,16.676,3709.016,65.302,9.999,358.157,3214.312,93.902,2532.893,184.018,109.684,318.448,5739.096,4391.131,122.852,826.276,122.434,133.243,1085.532,96.876,527.054,625.044,3431.835,11.241,712.973,2483.421,3895.396,5.327,1286.863,4335.751,3156.861,9.919,4461.548,3000.346,1795.083
Sample86,379.934,23.075,6.561,7.003,1073.79,2985.634,277.775,869.749,129.442,3372.554,1332.629,3.787,1900.226,3.099,814.797,16.982,1925.637,137.206,35.461,60.995,5.46,9.522,532.794,447.593,254.189,51.547,5770.052,2935.933,433.2,334.035,496.126,71.382,13.656,716.135,156.96,36.753,160.399,2016.648,3603.119,40.203,235.154,39.924,331.802,35.551,75.087,2704.102,13.867,427.166,7.124,1734.35,684.444,23.525,1208.83,7.831,33.313,13.118,144.864,694.049,24.01,4.834,73.491,19.228,8.476,342.622,42.868,396.531,12.987,3698.333,72.319,10.285,324.071,3423.708,90.075,2629.173,179.071,106.146,357.015,5131.039,3924.401,140.24,985.155,123.811,108.507,1028.047,103.869,514.027,589.804,3832.26,10.138,721.042,2302.645,4029.407,5.068,1312.449,4921.979,3210.762,10.353,4217.949,2822.784,1397.852
Sample87,353.522,21.562,7.013,6.214,942.135,2677.185,278.554,989.146,124.69,3504.556,1547.869,2.884,2170.644,2.792,799.552,17.846,2138.954,148.722,47.175,59.59,4.624,10.679,592.915,409.681,267.989,53.385,6050.739,2920.24,395.526,362.949,543.786,66.604,14.688,627.944,159.962,35.498,150.915,2070.591,3953.231,57.542,181.307,43.428,321.236,32.954,68.5,2582.156,13.687,444.911,6.836,1842.271,748.101,19.7,1342.034,8.529,40.624,13.774,131.032,841.093,28.435,4.602,58.271,16.846,8.511,370.511,40.953,370.765,13.379,3929.45,73.057,10.579,319.817,3828.372,80.022,2575.714,180.389,106.195,382.536,5407.275,4210.944,134.702,1007.126,101.475,104.439,1127.386,94.816,542.793,594.52,3609.583,10.476,723.591,2423.851,3332.789,5.263,1090.086,5123.247,3534.162,7.748,4887.218,3064.118,1297.818
Sample88,351.718,28.55,8.011,6.122,1087.589,2499.852,299.276,829.683,113.794,3125.278,1232.686,3.548,1745.622,3.813,831.986,15.898,2057.561,156.871,42.918,62.303,3.847,10.24,568.619,385.034,299.846,50.197,5819.559,3940.191,443.276,294.727,469.049,74.704,13.787,696.408,154.825,35.438,153.99,2265.482,3623.319,42.046,243.957,46.605,377.309,45.166,66.841,2513.915,17.299,413.222,6.574,1825.065,689.345,21.824,1264.036,6.959,37.865,13.957,126.583,803.595,27.252,5.009,62.054,16.313,8.003,354.315,45.993,437.214,16.135,3849.695,71.593,9.963,286.684,3625.191,81.684,3174.145,201.071,109.719,400.762,5908.445,3971.232,112.396,1018.991,120.745,162.406,1173.209,89.642,516.695,550.237,3509.565,9.832,674.168,1834.379,3495.751,4.74,1473.482,5327.05,3007.953,7.033,4267.745,2634.564,1393.913
Sample89,320.598,27.575,7.158,5.841,1004.227,2755.082,309.127,793.215,135.022,3590.074,1112.015,3.925,1782.095,3.688,781.598,14.935,2094.238,145.311,41.21,64.915,5.181,11.086,629.712,412.134,241.359,47.766,5011.748,3229.201,454.609,351.416,505.687,66.076,13.453,690.17,151.139,41.616,163.361,2149.817,3965.805,42.859,256.884,44.656,375.361,34.622,57.717,2496.273,15.838,380.776,7.848,1535.974,576.991,22.892,1172.842,7.014,36.875,15.414,132.076,975.255,31.393,4.326,68.635,12.797,9.035,348.465,43.048,472.149,15.733,3409.165,65.695,8.998,286.541,3879.775,86.671,3003.421,188.259,88.478,387.067,5906.006,3779.941,113.695,1011.697,106.213,137.382,1159.626,80.209,464.838,651.831,3235.645,9.753,799.776,2026.818,3517.049,5.244,1457.659,5154.796,3832.225,6.965,4399.315,2787.567,1606.608
Sample90,369.21,23.572,6.853,6.733,949.533,2577.966,282.49,934.193,116.792,2929.854,1354.215,2.578,2135.212,3.087,762.363,16.427,2203.449,106.717,45.375,55.833,4.313,10.499,546.206,411.266,244.803,51.034,6001.485,3880.383,447.374,311.673,546.674,69.033,14.898,652.839,163.494,35.454,188.396,2164.94,3736.929,49.782,247.24,44.225,345.946,35.769,58.547,2858.776,14.91,380.932,7.893,1654.136,610.013,21.505,1119.969,7.253,43.725,14.003,120.154,885.804,27.653,5.232,75.979,13.847,8.878,302.64,48.736,388.108,17.727,4090.117,60.806,8.365,232.803,3712.628,84.046,2673.644,184.111,94.433,328.464,5088.451,3724.306,135.99,1165.789,110.924,129.015,1257.592,80.622,555.268,750.745,3763.401,11.351,684.916,2072.591,3777.011,4.635,1050.134,5162.895,3990.542,8.315,4476.69,2869.3,1512.951
Sample91,388.964,30.447,7.757,6.962,1151.704,2558.106,287.939,906.442,123.22,3339.437,1223.508,2.977,1990.66,3.651,893.31,13.424,2138.139,160.402,38.372,57.82,5.416,8.801,607.027,413.75,296.484,55.515,5849.788,3483.703,367.277,310.69,646.335,72.747,15.382,703.18,131.957,36.491,154.532,2608.677,3503.319,50.038,221.63,45.024,287.751,38.392,68.307,2663.164,18.005,452.771,7.744,1717.425,563.869,15.622,1596.683,7.397,34.513,13.677,134.674,734.129,29.513,3.868,57.365,17.437,8.089,352.416,39.806,377.823,11.877,3494.616,72.626,7.801,352.008,3857.591,73.111,2205.889,199.263,96.322,371.214,5809.686,3880.816,120.311,955.647,132.793,129.837,1115.689,98.912,530.605,581.457,3442.52,10.018,663.863,1881.926,3863.348,5.216,1484.58,5486.135,3588.574,8.296,3929.758,2617.675,1356.759
